0,LA (code),LA (name),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentTypeGroup (name),EstablishmentStatus (name),ReasonEstablishmentOpened (name),OpenDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Gender (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,MainEmail,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,HeadPreferredJobTitle,Region
133884,212,Wandsworth,,Roehampton University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Roehampton Lane,,,London,,SW15 5PJ,https://www.roehampton.ac.uk,,02083923000,Professor,Jean-Noel,Ezingeard,Vice-Chancellor,London
133885,212,Wandsworth,,St George's Hospital Medical School,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Cranmer Terrace,,Tooting,London,,SW17 0RE,https://www.sgul.ac.uk,,02086729944,Professor,Jenny,Higham,Principal,London
133887,207,Kensington and Chelsea,,"Imperial College of Science, Technology and Medicine",Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Exhibition Road,,South Kensington,London,,SW7 2AZ,https://www.imperial.ac.uk,,02075895111,Professor,Alice,Gast,President,London
133888,207,Kensington and Chelsea,,Royal College of Music,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Prince Consort Road,,,London,,SW7 2BS,http://www.rcm.ac.uk/,info@rcm.ac.uk,02075914300,Professor,Colin,Lawson,Director,London
133889,207,Kensington and Chelsea,,Royal College of Art,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Kensington Gore,,,London,,SW7 2EU,https://www.rca.ac.uk/,,02075904444,Dr,Paul,Thompson,Vice-Chancellor,London
133890,207,Kensington and Chelsea,,Institute of Cancer Research,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Royal Cancer Hospital,237 Fulham Road,,London,,SW3 6JB,https://www.icr.ac.uk,,02073528133,Professor,Paul,Workman,Chief Executive,London
133891,894,Telford and Wrekin,,Harper Adams University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,,,,Newport,Shropshire,TF10 8NB,https://www.harper-adams.ac.uk,,01952820280,Dr,David,Llewellyn,Vice-Chancellor,West Midlands
133894,806,Middlesbrough,,Teesside University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Borough Road,,,Middlesbrough,,TS1 3BA,https://www.tees.ac.uk,,01642218121,Professor,Paul,Croney,Vice Chancellor and Chief Executive,North East
133895,318,Richmond upon Thames,,"St Mary's University, Twickenham",Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Waldegrave Road,Strawberry Hill,,Twickenham,,TW1 4SX,https://www.stmarys.ac.uk,,02082404000,Mr,Anthony,McClaran,Vice-Chancellor,London
133896,936,Surrey,,Royal Holloway and Bedford New College,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Egham Hill,,,Egham,Surrey,TW20 0EX,https://www.rhul.ac.uk,,01784434455,Professor,Paul,Layzell,Principal,South East
133897,312,Hillingdon,,Brunel University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Kingston Lane,,,Uxbridge,,UB8 3PH,https://www.brunel.ac.uk,,01895274000,Professor,Julia,Buckingham,Vice Chancellor and President,London
133898,213,Westminster,,University of Westminster,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,309 Regent Street,,,London,,W1B 2UW,https://www.westminster.ac.uk,,02079115000,Dr,Peter,Bonfield,Vice-Chancellor and President,London
133900,202,Camden,,University of the Arts London,Higher education institutions,Universities,Open,New Provision,28/05/2003,Not applicable,,,Mixed,272 High Holborn,,,London,,WC1V 7EY,https://www.arts.ac.uk,s.lapierre@arts.ac.uk,02075146000,Sir,Nigel,Carrington,Vice-Chancellor,London
133901,307,Ealing,,University of West London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Room Tc 203,St Mary's Road,Ealing,London,,W5 5RF,https://www.uwl.ac.uk,Margaret.Cashin@uwl.ac.uk,02082312468,Professor,Peter,John,Vice-Chancellor,London
133902,202,Camden,,University College London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Gower Street,,,London,,WC1E 6BT,https://www.ucl.ac.uk/,,02076792000,Professor,Michael,Arthur,President and Provost,London
133903,202,Camden,,London School of Hygiene & Tropical Medicine,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Keppel Street,,,London,,WC1E 7HT,https://www.lshtm.ac.uk,,02076368636,Professor,Peter,Piot,Director,London
133904,202,Camden,,University of London,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Senate House,Malet Street,,London,,WC1E 7HU,https://www.london.ac.uk,,02076368000,Professor,Wendy,Thomson,Vice Chancellor,London
133905,202,Camden,,Birkbeck College,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Malet Street,,,London,,WC1E 7HX,https://www.bbk.ac.uk,,02076316000,Professor,David,Latchman,Master,London
133907,202,Camden,,School of Oriental and African Studies,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Thornhaugh Street,Russell Square,,London,,WC1H 0XG,https://www.soas.ac.uk,,02076372388,Rt Hon,the Lady Amos,of Brondesbury in the London Borough of Brent,Director,London
133910,213,Westminster,,London School of Economics and Political Science,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Houghton Street,,,London,,WC2A 2AE,https://www.lse.ac.uk,,02074057686,Dame,Minouche,Shafik,Director,London
133911,885,Worcestershire,,University of Worcester,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Henwick Grove,,,Worcester,Worcestershire,WR2 6AJ,https://www.worcester.ac.uk,,01905855000,Professor,David,Green,Vice-Chancellor and Chief Executive,West Midlands
133912,336,Wolverhampton,,University of Wolverhampton,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Wulfruna Street,,,Wolverhampton,West Midlands,WV1 1LY,https://www.wlv.ac.uk,,01902321000,Professor,Geoff,Layer,Vice-Chancellor,West Midlands
133913,816,York,,University of York,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Heslington,,,York,North Yorkshire,YO10 5DD,https://www.york.ac.uk,vc@york.ac.uk,01904430000,Professor,Charlie,Jeffery,Principal,Yorkshire and the Humber
133914,816,York,,York St John University,Higher education institutions,Universities,Open,Not applicable,,Not applicable,,,Mixed,Lord Mayor's Walk,,,York,North Yorkshire,YO31 7EX,https://www.yorksj.ac.uk/,,01904624624,Professor,Karen,Bryan,Principal,Yorkshire and the Humber
134154,211,Tower Hamlets,,Courtauld Institute of Art,Higher education institutions,Universities,Open,New Provision,01/11/2002,Not applicable,,,Not applicable,Somerset House,Strand,,London,,WC2R 0RN,https://www.courtauld.ac.uk,,02078482777,Professor,Deborah,Swallow,Director,London
135398,942,Cumberland,,University of Cumbria,Higher education institutions,Universities,Open,Result of Amalgamation,01/08/2007,Not applicable,,,Mixed,Paternoster Row,,,Carlisle,Cumbria,CA3 8TB,https://www.cumbria.ac.uk,admissionlondon@ucsm.ac.uk,01524384384,Professor,Julie,Mennell,Vice-Chancellor,North West
135412,201,City of London,,Guildhall School of Music and Drama,Higher education institutions,Universities,Open,New Provision,01/04/1935,Not applicable,,,Mixed,Silk Street,Barbican,,London,,EC2Y 8DT,https://www.gsmd.ac.uk/,,02076282571,Ms,Lynne,Williams,Principal,London
135413,341,Liverpool,,Liverpool Institute of Performing Arts,Higher education institutions,Universities,Open,New Provision,01/08/1996,Not applicable,,,Mixed,Mount Street,,,Liverpool,Merseyside,L1 9HF,https://www.lipa.ac.uk,,01513303232,Sir,Mark,Featherstone-Witty,Founding Principal/CEO,North West
135414,825,Buckinghamshire,,University of Buckingham,Higher education institutions,Universities,Open,New Provision,01/08/1976,Not applicable,,,Mixed,Hunter Street,Yoemanry House,,Buckingham,Buckinghamshire,MK18 1EG,https://www.buckingham.ac.uk,,01280814080,Sir,Anthony,Seldon,Vice-Chancellor and Accounting Officer,South East
146206,935,Suffolk,,University of Suffolk,Higher education institutions,Universities,Open,,01/08/2016,Not applicable,,,Mixed,Waterfront Building,Neptune Quay,,Ipswich,,IP4 1QJ,https://www.uos.ac.uk,,01473338000,Professor,Helen,Langton,Vice-Chancellor,East of England
